,Duration,IDWorker1,IDWorker2
0,28840,574,1362
1,28840,164,779
2,28860,447,763
3,28860,117,429
4,28880,447,763
5,28900,215,1414
6,28900,97,1204
7,28900,461,1245
8,28900,20,1209
9,28900,15,20
10,28920,20,985
11,28920,200,1323
12,28920,447,763
13,28920,215,491
14,28920,20,649
15,28920,425,447
16,28920,215,242
17,28920,720,1090
18,28940,117,147
19,28940,200,440
20,28940,372,461
21,28940,20,77
22,28980,295,447
23,28980,27,763
24,28980,160,425
25,29000,447,763
26,29000,215,1414
27,29000,20,74
28,29020,122,649
29,29020,447,763
30,29020,649,977
31,29040,77,649
32,29040,97,429
33,29080,74,434
34,29080,215,1414
35,29100,242,461
36,29100,372,461
37,29100,426,741
38,29100,215,985
39,29120,447,763
40,29120,290,1492
41,29120,290,1204
42,29140,425,447
43,29140,97,147
44,29140,15,429
45,29160,200,461
46,29180,89,200
47,29200,372,977
48,29200,77,387
49,29220,20,1204
50,29240,574,1362
51,29240,574,977
52,29240,20,491
53,29260,220,432
54,29260,122,649
55,29260,220,434
56,29260,447,763
57,29260,77,779
58,29260,220,378
59,29260,55,434
60,29260,426,649
61,29260,220,779
62,29320,117,147
63,29320,89,461
64,29380,122,779
65,29400,859,1245
66,29400,117,429
67,29400,200,1245
68,29420,117,147
69,29420,74,1209
70,29420,447,763
71,29420,147,200
72,29420,200,574
73,29420,71,859
74,29440,574,1362
75,29440,20,985
76,29460,200,1245
77,29460,74,1492
78,29460,491,1414
79,29480,372,977
80,29480,74,77
81,29480,20,1245
82,29500,20,1209
83,29540,649,985
84,29580,429,441
85,29580,1323,1414
86,29580,447,763
87,29580,97,1414
88,29620,242,1362
89,29620,164,432
90,29620,487,977
91,29640,89,461
92,29640,74,426
93,29640,147,434
94,29660,215,1492
95,29660,117,441
96,29660,122,215
97,29680,122,1492
98,29680,74,372
99,29680,429,432
100,29680,122,779
101,29680,77,649
102,29680,74,985
103,29680,985,1209
104,29680,426,985
105,29680,372,1414
106,29680,387,1204
107,29680,74,426
108,29680,164,779
109,29680,461,779
110,29680,475,677
111,29700,74,77
112,29700,71,491
113,29700,491,985
114,29700,117,434
115,29700,387,649
116,29700,242,1492
117,29700,751,1492
118,29700,461,649
119,29720,117,200
120,29720,20,977
121,29720,432,649
122,29720,3,200
123,29720,779,1245
124,29720,440,779
125,29740,3,1090
126,29740,215,1362
127,29740,117,1090
128,29760,20,215
129,29760,71,378
130,29760,435,491
131,29780,74,977
132,29780,97,461
133,29780,71,74
134,29800,158,440
135,29800,447,763
136,29800,290,1204
137,29800,117,461
138,29800,15,77
139,29800,720,1090
140,29820,447,763
141,29820,77,97
142,29820,20,122
143,29820,71,1090
144,29840,475,677
145,29840,401,441
146,29860,74,1209
147,29860,20,117
148,29880,89,649
149,29880,71,242
150,29880,649,1323
151,29880,77,649
152,29880,859,1414
153,29880,89,859
154,29880,20,426
155,29880,27,763
156,29900,475,653
157,29900,74,434
158,29900,122,1362
159,29900,122,426
160,29900,122,1492
161,29920,215,977
162,29920,122,1245
163,29920,215,290
164,29920,117,1090
165,29940,220,387
166,29940,220,378
167,29940,117,859
168,29940,3,20
169,29940,77,117
170,29940,117,1090
171,29940,387,859
172,29960,425,447
173,29960,74,426
174,29960,74,985
175,29980,159,653
176,30000,425,544
177,30000,295,544
178,30000,909,970
179,30020,460,489
180,30020,200,290
181,30020,290,574
182,30020,99,236
183,30020,378,741
184,30020,99,628
185,30020,387,741
186,30040,160,677
187,30040,79,173
188,30040,429,440
189,30060,429,441
190,30060,77,215
191,30060,491,574
192,30080,117,147
193,30080,401,977
194,30080,401,1362
195,30100,378,432
196,30100,649,1362
197,30100,147,1245
198,30100,242,1362
199,30100,1323,1492
200,30100,117,432
201,30100,387,435
202,30100,71,1204
203,30100,440,461
204,30100,89,242
205,30120,215,1090
206,30120,122,779
207,30120,487,491
208,30120,3,401
209,30120,242,432
210,30120,97,215
211,30120,74,122
212,30120,215,720
213,30120,215,426
214,30120,20,1414
215,30120,164,779
216,30120,3,491
217,30120,491,1260
218,30140,491,1492
219,30140,200,401
220,30140,200,1323
221,30140,487,491
222,30140,751,1090
223,30140,387,432
224,30140,720,779
225,30140,3,290
226,30140,55,1323
227,30140,487,1260
228,30140,164,432
229,30140,147,401
230,30140,117,1323
231,30160,89,649
232,30160,461,491
233,30160,401,1414
234,30160,435,859
235,30160,89,432
236,30160,164,603
237,30160,491,977
238,30160,71,401
239,30160,20,1245
240,30160,164,487
241,30160,290,1323
242,30160,290,603
243,30160,117,429
244,30180,491,603
245,30180,372,432
246,30180,164,1090
247,30180,372,977
248,30180,20,1090
249,30180,372,1492
250,30180,242,649
251,30180,859,1260
252,30180,491,720
253,30180,156,425
254,30180,122,1323
255,30180,20,74
256,30180,220,1414
257,30180,429,1090
258,30180,55,1260
259,30200,200,290
260,30200,34,677
261,30220,378,1260
262,30240,720,985
263,30240,147,387
264,30260,491,1204
265,30260,89,432
266,30260,74,242
267,30280,434,1260
268,30280,1260,1492
269,30280,441,1090
270,30300,122,426
271,30320,491,977
272,30320,387,491
273,30320,79,156
274,30320,242,1492
275,30320,77,491
276,30320,173,460
277,30340,117,200
278,30340,387,432
279,30340,79,156
280,30340,74,77
281,30340,242,435
282,30340,117,491
283,30340,74,491
284,30340,164,1414
285,30360,79,156
286,30360,74,77
287,30360,464,677
288,30360,165,447
289,30380,220,720
290,30380,79,156
291,30380,147,220
292,30400,74,1362
293,30420,242,491
294,30420,200,461
295,30420,378,461
296,30440,89,387
297,30440,441,1090
298,30460,117,147
299,30460,215,378
300,30460,117,859
301,30460,242,1245
302,30460,242,378
303,30480,387,432
304,30480,242,432
305,30480,147,441
306,30480,215,220
307,30500,117,200
308,30500,89,432
309,30500,1090,1362
310,30500,117,242
311,30520,20,441
312,30540,220,242
313,30540,77,649
314,30540,165,447
315,30540,215,720
316,30560,77,985
317,30560,71,429
318,30560,74,290
319,30560,71,290
320,30560,34,245
321,30560,491,1414
322,30560,71,859
323,30560,147,429
324,30560,117,441
325,30560,440,461
326,30560,429,859
327,30580,164,440
328,30580,122,649
329,30580,71,387
330,30580,122,1260
331,30580,164,720
332,30580,160,165
333,30580,628,763
334,30580,429,649
335,30580,147,164
336,30580,242,1260
337,30580,20,435
338,30580,435,720
339,30580,242,1204
340,30600,259,628
341,30600,447,884
342,30600,440,751
343,30600,89,1492
344,30600,117,378
345,30600,215,1492
346,30600,165,884
347,30600,434,1260
348,30620,429,432
349,30620,74,215
350,30620,432,1414
351,30620,27,628
352,30620,464,909
353,30620,378,720
354,30640,117,147
355,30640,649,720
356,30640,200,1323
357,30640,649,1362
358,30640,425,447
359,30640,20,1362
360,30660,290,574
361,30660,160,425
362,30660,97,147
363,30660,117,432
364,30660,491,859
365,30660,89,1245
366,30660,97,985
367,30660,378,432
368,30660,27,165
369,30660,290,720
370,30660,20,77
371,30680,425,447
372,30680,117,429
373,30680,290,440
374,30700,574,977
375,30700,165,447
376,30700,74,242
377,30720,491,1362
378,30720,245,653
379,30720,242,649
380,30720,147,603
381,30720,159,970
382,30720,387,977
383,30720,426,1323
384,30720,165,447
385,30720,426,649
386,30720,603,1492
387,30720,165,425
388,30720,27,165
389,30740,89,432
390,30740,89,1362
391,30740,89,429
392,30740,15,429
393,30740,290,432
394,30760,97,1492
395,30760,242,720
396,30760,97,1414
397,30760,97,441
398,30780,295,763
399,30780,429,1245
400,30780,460,909
401,30780,99,628
402,30780,220,574
403,30780,464,909
404,30780,147,429
405,30800,89,401
406,30800,200,574
407,30800,147,200
408,30800,242,487
409,30800,220,1204
410,30800,242,1090
411,30800,89,720
412,30800,200,977
413,30800,89,1090
414,30800,220,977
415,30820,71,429
416,30820,97,147
417,30820,200,242
418,30820,15,1362
419,30820,71,574
420,30820,475,677
421,30820,491,1323
422,30840,20,242
423,30840,401,432
424,30840,259,425
425,30840,200,215
426,30860,20,401
427,30860,122,426
428,30860,20,147
429,30860,74,574
430,30880,1204,1323
431,30880,89,432
432,30880,15,20
433,30880,491,720
434,30880,117,461
435,30880,242,1204
436,30880,242,1090
437,30880,117,441
